States,2014,2007
All states,12.1,11.8
California ,2.9,2.8
Texas,1.9,1.7
Florida,.8,1.
New York,.6,.6
Illinois ,.6,.6
New Jersey,.5,.5
Georgia,.4,.5
North Carolina,.4,.4
Arizona,.4,.5
Washington,.3,.3
Other States ,3.4,2.9
