Birth Country,2014,2007
All countries,"12,120,000.00","11,780,000.00"
Mexico,"6,640,000.00","6,980,000.00"
El Salvador,"700,000.00","540,000.00"
Guatemala,"640,000.00","500,000.00"
India ,"430,000.00","220,000.00"
Honduras,"400,000.00","280,000.00"
Philippines,"360,000.00","290,000.00"
China,"270,000.00","290,000.00"
Korea,"250,000.00","230,000.00"
Vietnam,"200,000.00","120,000.00"
Dominican Republic,"180,000.00","100,000.00"
Other countries,"2,050,000.00","2,220,000.00"
